run_id,topology_tier,topology_name,topology_idx,voxel_seed,voxel_nx,voxel_ny,voxel_nz,regolith_volume_fraction_target,hdpe_volume_fraction_target,thickness_cm,w_regolith,w_hdpe,density_g_cm3,areal_density_g_cm2,H_mass_fraction,C_mass_fraction,O_mass_fraction,Si_mass_fraction,Al_mass_fraction,Ca_mass_fraction,Fe_mass_fraction,Mg_mass_fraction,Na_mass_fraction,K_mass_fraction,Mn_mass_fraction,P_mass_fraction,Ti_mass_fraction,mean_excitation_ev
54,3,tier3_voxel_grid,3,20260961,64,64,64,0.4063372615,0.5936627385,11.81643368,0.6645787855,0.3354212145,1.681407071,19.86823515,0.04820768292,0.2872135315,0.3050183727,0.1545377298,0.09365133753,0.06503562402,0.01674160613,0.01160825285,0.01273262456,0.001899717203,0.0003127552643,0.000499362105,0.002541403442,95.99496324
55,3,tier3_voxel_grid,3,20260962,64,64,64,0.2648068524,0.7351931476,2.162412755,0.5104388971,0.4895611029,1.426652334,3.085011204,0.07036110241,0.4192000005,0.2342735656,0.1186948336,0.07193020072,0.04995150751,0.01285862136,0.008915878614,0.009779467805,0.001459103984,0.0002402159919,0.0003835419482,0.001951959946,83.55972961
56,3,tier3_voxel_grid,3,20260963,64,64,64,0.2794792781,0.7205207219,13.2611444,0.5289296975,0.4710703025,1.453062701,19.2692743,0.06770355242,0.40336675,0.242760195,0.1229945891,0.07453589358,0.05176101568,0.01332442873,0.009238858961,0.01013373193,0.001511960459,0.0002489178875,0.000397435869,0.002022670274,84.93494357
57,3,tier3_voxel_grid,3,20260964,64,64,64,0.06564325108,0.9343567489,3.173016787,0.1690002467,0.8309997533,1.068157852,3.389282796,0.1194336282,0.7115661251,0.07756519068,0.0392984474,0.02381523378,0.01653834992,0.004257336567,0.002951941346,0.003237865454,0.0004830919716,7.953265733e-05,0.0001269861764,0.0006462707176,62.72219419
58,3,tier3_voxel_grid,3,20260965,64,64,64,0.1073354387,0.8926645613,5.192920484,0.258197584,0.741802416,1.14320379,5.936566377,0.1066139353,0.6351884807,0.1185036426,0.06003993706,0.03638477425,0.02526719383,0.006504333794,0.004509958646,0.004946791817,0.000738065076,0.0001215095266,0.0001940087343,0.0009873686054,67.42932969
59,3,tier3_voxel_grid,3,20260966,64,64,64,0.3626629139,0.6373370861,1.509300465,0.6222405892,0.3777594108,1.602793245,2.41909659,0.0542926479,0.3234667629,0.2855866243,0.1446926235,0.0876851093,0.06089241169,0.01567505176,0.01086872806,0.01192146963,0.001778692274,0.0002928306232,0.0004675493368,0.002379498729,92.34942246
60,3,tier3_voxel_grid,3,20260967,64,64,64,0.2420485502,0.7579514498,14.18254842,0.4803634049,0.5196365951,1.38568739,19.65257851,0.07468363696,0.4449529581,0.2204699687,0.1117012334,0.06769201237,0.04700832238,0.0121009805,0.008390547494,0.009203253278,0.001373132341,0.0002260622622,0.0003609433317,0.001836948812,81.38504728
61,3,tier3_voxel_grid,3,20260968,64,64,64,0.08575406436,0.9142459356,3.59387852,0.2135392899,0.7864607101,1.104357316,3.968926035,0.1130323513,0.6734283588,0.09800705066,0.04965532724,0.0300916017,0.02089693694,0.005379333138,0.003729908514,0.004091186276,0.0006104080829,0.0001004930318,0.000160452653,0.000816591649,65.01585658
62,3,tier3_voxel_grid,3,20260969,64,64,64,0.1677265779,0.8322734221,11.3036116,0.3684361376,0.6315638624,1.25190784,14.15107999,0.09077013949,0.5407937229,0.1690992755,0.08567424286,0.05191940795,0.03605512942,0.009281386697,0.006435504619,0.007058845567,0.001053185091,0.0001733885344,0.0002768415863,0.00140892982,73.91961809
63,3,tier3_voxel_grid,3,20260970,64,64,64,0.03194675601,0.968053244,7.576921295,0.08719922205,0.912800778,1.007504161,7.633779731,0.1311903022,0.7816104758,0.04002138706,0.02027685822,0.01228796939,0.00853330853,0.002196662099,0.001523116055,0.001670644595,0.0002492614356,4.103654275e-05,6.552118127e-05,0.0003334569323,58.78340643
