run_id,thickness_cm,w_regolith,incident_energy_mev,target_dose_sv_per_particle,target_secondary_neutrons,target_secondary_gammas,transmission_probability,target_secondary_protons,target_secondary_pions,target_secondary_light_ions,sem_dose,sem_neutrons,rel_sem_dose,rel_sem_neutrons,p_nuclear_interaction,mean_neutrons_given_interaction,log_mean_dose,log_std_dose,n_events
1112,6.044436436578526,0.2385212074550499,82.30293513417986,5.365126636112585e-17,0.0137,0.0698,0.0,0.0,0.0,0.0,5.98839947152814e-18,0.0018951491126072114,0.11161711321444522,0.1383320520151249,0.0086,1.5930232558139534,-35.78462833329028,2.2183129089964293,10000
1113,3.6551394743257144,0.4231079351549453,731.739423476283,6.123083083299e-14,0.106,0.1814,0.9507,0.0588,0.0095,0.0006,4.530989294672784e-16,0.005808594836739582,0.007399849443544663,0.05479806449754323,0.0519,2.0423892100192678,-30.598759182265717,0.5515298740351066,10000
1114,12.329195719209308,0.0564183618747886,161.06234186478648,3.7708629793002644e-14,0.0525,0.1705,0.8801,0.0365,0.0,0.0002,1.2143541781136739e-16,0.0036899507549095238,0.0032203614524837867,0.07028477628399094,0.0325,1.6153846153846154,-31.05514189803566,1.0925865240927297,10000
1115,10.30839571586619,0.0500287549061576,24.82108434122356,2.9391892099999997e-18,0.0001,0.0048,0.0,0.0,0.0,0.0,9.673459378208557e-19,0.00010000000000000002,0.32911999490528066,1.0000000000000002,0.0001,1.0,-35.637209596958705,1.6906736043874777,10000
1116,2.9061107355610227,0.5304167353060049,392.5855086826016,6.605462167844e-14,0.0554,0.108,0.9616,0.0444,0.0006,0.0001,3.1227150886164814e-16,0.003629655829433972,0.00472747403477405,0.06551725323888036,0.0324,1.7098765432098766,-30.438706056608606,0.47903918806506796,10000
1117,2.865583073126252,0.5730485961194263,4298.749246437112,9.170764670616e-14,0.1808,0.3667,0.9476,0.0876,0.0478,0.0041,1.196506870811604e-15,0.008514598395613493,0.013046969514388756,0.0470940176748534,0.0691,2.6164978292329955,-30.521928525876458,0.8845373680237971,10000
1118,4.887375414148159,0.30876705184096,48.62714825358876,1.3576427851999998e-17,0.0017,0.0286,0.0,0.0,0.0,0.0,2.0645224260125977e-18,0.0005742333797311331,0.1520666885662759,0.3377843410183136,0.0012,1.4166666666666667,-35.797230050962426,1.5707121367885863,10000
1119,13.614180981280736,0.4808169600257968,3331.701433368783,8.981873835637194e-14,0.5811,1.3492,0.7926,0.267,0.1167,0.0048,1.0026964816921356e-15,0.01637648002196415,0.011163555623702456,0.028181862023686374,0.196,2.964795918367347,-30.478815706983248,0.9057492862981799,10000
1120,2.1730314012936525,0.4627717665874981,3394.921247640096,7.79398122955e-14,0.1346,0.252,0.962,0.0606,0.0272,0.0018,9.581642375926833e-16,0.0069550788142285795,0.012293643125029756,0.05167220515771605,0.0567,2.3738977072310408,-30.600075269388526,0.7934761157147334,10000
1121,4.205099963633019,0.5934531400403025,971.2686346831274,6.342778916854999e-14,0.1665,0.2831,0.9254,0.087,0.0159,0.0003,5.263880776593696e-16,0.00739886811106486,0.008299013485407335,0.04443764631270186,0.0786,2.118320610687023,-30.6165923878777,0.6523791301838653,10000
1122,2.253522246543596,0.4425645416159911,621.9133770736966,6.033308063883001e-14,0.0615,0.1112,0.9677,0.0408,0.0047,0.0003,4.093948833712503e-16,0.004122314198048803,0.006785578973200421,0.0670294991552651,0.0334,1.841317365269461,-30.586499234547787,0.5233550933868758,10000
1123,12.662550275789696,0.1792500704966016,89.9347203667311,6.2014035082089e-17,0.0129,0.0649,0.0,0.0,0.0,0.0,8.24614144465225e-18,0.0020133962293690834,0.13297218014819864,0.1560772270828747,0.0075,1.72,-35.709185291388664,2.041165134572067,10000
1124,7.712018469832813,0.5356571835267033,13.212515285072689,2.6870489999999997e-20,0.0,0.0004,0.0,0.0,0.0,0.0,2.2998640258941223e-20,0.0,0.8559069916083117,,0.0,0.0,-36.859002903000444,1.1779798706374462,10000
1125,2.078706193330052,0.0410619396425739,2755.301991591913,7.214408936059999e-14,0.0908,0.1711,0.9748,0.0386,0.0137,0.0002,8.3417285109534755e-16,0.005390588265132518,0.011562594503423226,0.05936771217106297,0.0429,2.1165501165501164,-30.632106014259403,0.7505940780246287,10000
1126,4.28108736454488,0.4223546748041783,10.602945087252127,2.223465e-19,0.0,0.0003,0.0,0.0,0.0,0.0,1.936048847286216e-19,0.0,0.8707350227173426,,0.0,0.0,-34.79611293779305,1.2795448034459775,10000
1127,2.5039147594481177,0.4769695515321353,425.4870388370092,6.449016649772e-14,0.0575,0.1081,0.9634,0.0431,0.0012,0.0004,3.3641451255563077e-16,0.0038079948900317934,0.005216524174542555,0.06622599808750945,0.0336,1.7113095238095237,-30.475190882487155,0.5012226050526133,10000
1128,1.222108340646568,0.4700802178650173,555.77888590838,6.04586054192e-14,0.034,0.0603,0.9828,0.0214,0.0023,0.0008,3.794267368403347e-16,0.00281161706479597,0.006275810270672224,0.08269461955282265,0.0201,1.691542288557214,-30.56201546577339,0.4720890637898537,10000
1129,12.947184389785376,0.3558616730378217,135.97622270570017,1.456051528251538e-16,0.0388,0.1529,0.0,0.0001,0.0,0.0,1.3222877555055285e-17,0.0028688462886503337,0.09081325281759525,0.0739393373363488,0.0272,1.4264705882352942,-35.69464301722025,2.152995735675357,10000
1130,2.044042654652721,0.0085406376679462,38.3752997485252,1.1544613511e-17,0.001,0.0198,0.0,0.0,0.0,0.0,1.7266980553482145e-18,0.00046895841201456223,0.1495674197930466,0.46895841201456223,0.0006,1.6666666666666667,-35.50063705767345,1.6741602262533297,10000
1131,12.946402124808,0.5955877921677701,130.06071562645678,1.824145816385859e-16,0.0491,0.1229,0.0,0.0002,0.0,0.0,1.666069052944172e-17,0.003551081527929456,0.09133420354767027,0.07232345270732089,0.0292,1.6815068493150684,-35.52575428150605,2.3235185049729328,10000
1132,14.112635372347212,0.1450819206456171,77.73490744435394,2.89768649761e-17,0.0054,0.0395,0.0,0.0,0.0,0.0,4.531234615573768e-18,0.001147700188016085,0.15637421851228944,0.21253707185483056,0.0035,1.542857142857143,-35.93941251711059,1.957514965818039,10000
1133,10.691285675158303,0.366767880539519,13.253517458193404,1.9469279999999998e-19,0.0,0.001,0.0,0.0,0.0,0.0,1.202290496702909e-19,0.0,0.6175320796161488,,0.0,0.0,-35.67841056717247,1.1779345062467927,10000
1134,8.433781377420114,0.0807766412257762,438.7771654625478,6.44617917313842e-14,0.1056,0.2406,0.9125,0.0913,0.0019,0.0004,3.3716808003214753e-16,0.005805879332494118,0.005230510523771124,0.054979917921345815,0.0569,1.8558875219683655,-30.49318979676377,0.6168959168551796,10000
1135,1.944416594155532,0.0450259138484192,2096.508264361681,6.75101571759e-14,0.0839,0.1446,0.9753,0.0325,0.013,0.0003,7.224255694190573e-16,0.004932394129749276,0.010700990778865363,0.05878896459772677,0.0419,2.0023866348448687,-30.650975014189434,0.7051246911282227,10000
1136,6.091277561963496,0.1492862880236924,14.082582615458378,1.5213484e-19,0.0,0.0007,0.0,0.0,0.0,0.0,1.2273236481172456e-19,0.0,0.8067341104228628,,0.0,0.0,-36.69676274061745,1.4625071778627123,10000
1137,10.360082879287196,0.4547614526174996,41.104676638192736,5.6975984290000006e-18,0.0009,0.0117,0.0,0.0,0.0,0.0,1.035112638215473e-18,0.0004358187625600577,0.18167525337463072,0.48424306951117524,0.0005,1.8,-35.85362485223303,1.6187859274031522,10000
1138,4.917204550090768,0.3839583624516874,13.327845109707171,2.1326911999999997e-19,0.0,0.0007,0.0,0.0,0.0,0.0,1.6399890403378268e-19,0.0,0.7689763245320406,,0.0,0.0,-36.42569084546181,1.6821186738511358,10000
