run_id,thickness_cm,w_regolith,incident_energy_mev,target_dose_sv_per_particle,target_secondary_neutrons,target_secondary_gammas,transmission_probability,target_secondary_protons,target_secondary_pions,target_secondary_light_ions,sem_dose,sem_neutrons,rel_sem_dose,rel_sem_neutrons,p_nuclear_interaction,mean_neutrons_given_interaction,log_mean_dose,log_std_dose,n_events,target_dose_sv_per_particle_shrunk,target_dose_sv_per_particle_shrunk_sem,target_dose_sv_per_particle_gp_only,target_secondary_neutrons_shrunk,target_secondary_neutrons_shrunk_sem,target_secondary_neutrons_gp_only
880,2.0106448542705446,0.5736453403279684,400.7285287483359,6.550839307591e-14,0.0414,0.0754,0.9727,0.0331,0.0007,0.0,3.2063712889417995e-16,0.0031031543559248,0.0048945961553755,0.074955419225239,0.0257,1.6108949416342413,-30.4427136266395,0.4301896329304592,10000,6.537429135490219e-14,8.954092959572488e-16,6.51387516598825e-14,0.04146631241710662,0.0029266699791580145,0.04200005449009628
881,9.75594602050042,0.116997509835523,9868.1732501704,1.4201409748779998e-13,0.4079,1.1651,0.8792,0.1873,0.2637,0.01,1.931692156057741e-15,0.0140567250151596,0.013602115495778,0.0344612037635686,0.1364,2.9904692082111435,-30.27428241500393,1.0935719784656313,10000,1.4395268410890297e-13,1.372047423894677e-15,1.4482394151038397e-13,0.41704084874054426,0.007702963701782354,0.42096385183684437
882,11.894525502377077,0.2768272500803778,2983.1208022169144,8.3946656696694e-14,0.4657,0.9814,0.8343,0.2094,0.0836,0.0021,9.424116099077253e-16,0.0147344515135834,0.0112263149837251,0.031639363353196,0.1657,2.8105009052504526,-30.5250715347505,0.8489594485253146,10000,8.376285654691519e-14,1.0534448111255743e-15,8.359815958269169e-14,0.4454611855849485,0.0074667276279283944,0.43846806162920016
883,4.697434131841425,0.3341365538640651,998.0669493028124,6.296292958252e-14,0.1488,0.2549,0.9363,0.0766,0.0166,0.0008,5.28975058656736e-16,0.0069333010223346,0.0084013730327375,0.0465947649350446,0.0705,2.1106382978723404,-30.621552064183984,0.6328557507658598,10000,6.302568558861675e-14,9.28775807794234e-16,6.310641102704259e-14,0.1511728696799946,0.005408716091648591,0.15486200419551976
884,9.89640345361871,0.0990525294455582,93.9927291100241,5.66283672123713e-17,0.0162,0.0789,0.0,0.0,0.0,0.0,6.83886989359867e-18,0.0020381784556661,0.120767562800303,0.1258134849176645,0.0104,1.5576923076923077,-36.05199802804089,2.4250629273555586,10000,1.3914805451905713e-16,8.560707013591812e-16,2.829700259162974e-16,0.016163549868560716,0.0019842368785254025,0.01550213252145205
885,12.854015142669162,0.3997492678995328,55.31833094367566,1.3927552364400002e-17,0.0037,0.0212,0.0,0.0,0.0,0.0,2.3454899893561697e-18,0.0009320503590403,0.1684064743027956,0.2519055024433281,0.0021,1.761904761904762,-35.88100937338024,1.848696984723462,10000,0.0,8.536903143875881e-16,-4.0928324324127605e-16,0.00369185672864731,0.0009267143394626498,0.0029867597677006863
886,10.117677871334752,0.2607613049094357,7521.745028534567,1.3639798383375999e-13,0.4747,1.2232,0.8645,0.2127,0.2634,0.0101,1.7755340297337418e-15,0.0151551627802504,0.0130173040673221,0.0319257694970517,0.1536,3.0904947916666665,-30.27358694478054,1.073209702811016,10000,1.374145037919499e-13,1.2726163556467033e-15,1.378196596400852e-13,0.4649890641897258,0.0075339613571884885,0.4618014431190205
887,13.138965507920265,0.1790160940916062,216.52499535893648,6.885313154248484e-14,0.0889,0.2169,0.866,0.0685,0.0,0.0003,2.1912959204802034e-16,0.0048147686548493,0.00318256536978,0.0541593774448747,0.0528,1.683712121212121,-30.48215365831933,1.1429761893918895,10000,6.90116826742941e-14,8.73650855313028e-16,6.928538572307217e-14,0.08897030235935227,0.004212147431395673,0.08919959662807272
888,10.048744970213225,0.110223952084703,54.22626246043138,1.03460746319958e-17,0.0013,0.024,0.0,0.0,0.0,0.0,1.4065486910980021e-18,0.0005383864652817,0.1359499850066974,0.4141434348321317,0.0008,1.625,-36.02089697325875,1.9857511086825053,10000,0.0,8.543651639258951e-16,-1.2041003933132907e-16,0.0013023348628009802,0.0005373504184192391,0.0019072453160449698
889,2.1473455986342547,0.2601317503254212,22.649856417311423,4.467710318e-18,0.0001,0.0075,0.0,0.0,0.0,0.0,1.1910187985948565e-18,0.0001,0.2665837115258681,1.0000000000000002,0.0001,1.0,-35.70592541997525,1.7260706832099328,10000,0.0,8.522710801038026e-16,-6.392881498495056e-17,0.00010003333563732544,9.99933910267424e-05,0.00035220815423323004
